id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
8.35007e+17,Rental unit in Chicago · ★4.79 · Studio · 2 beds · 1 bath,502813706,Angela,0.0,Lincoln Park,41.92951,-87.64174,Entire home/apt,86.0,1,33,10-12-2023,4.54,1,87,33,R23000098876
8.23274e+17,Rental unit in Chicago · ★5.0 · 3 bedrooms · 4 beds · 2 baths,498303102,Betty,0.0,Albany Park,41.96745587,-87.70880094,Entire home/apt,157.0,1,15,09-10-2023,2.41,1,324,15,R23000097656
8.35067e+17,Home in Chicago · ★4.76 · 1 bedroom · 1 shared bath,85647159,Masato Or Akiko,0.0,Mckinley Park,41.83388216,-87.68326882,Shared room,120.0,1,17,21-11-2023,1.84,5,350,17,R22000094997
8.35411e+17,Rental unit in Chicago · ★5.0 · 3 bedrooms · 2 beds · 3 baths,8048267,Jamal,0.0,Near West Side,41.8819315,-87.6527984,Entire home/apt,317.0,13,3,01-12-2023,0.68,1,166,3,R23000103010
8.23294e+17,Rental unit in Chicago · ★4.27 · 3 bedrooms · 3 beds · 1 bath,500363895,Imran,0.0,West Town,41.899689,-87.683544,Entire home/apt,90.0,2,25,08-12-2023,2.92,1,0,25,R22000087411
8.23933e+17,Rental unit in Chicago · ★5.0 · 1 bedroom · 4 beds · 1.5 baths,180004994,Jeannie And Paul,0.0,Lincoln Park,41.92846,-87.66367,Entire home/apt,200.0,2,11,12-11-2023,1.73,5,193,11,R23000097377
8.24614e+17,Rental unit in Chicago · ★4.96 · 4 bedrooms · 5 beds · 2 baths,92129084,Russell,0.0,Lower West Side,41.85687947,-87.64203592,Entire home/apt,71.0,2,25,25-11-2023,2.61,5,0,25,R23000097703
8.35622e+17,Rental unit in Chicago · ★4.96 · 3 bedrooms · 5 beds · 1 bath,465359046,Mary,0.0,Norwood Park,41.97647165,-87.83451742,Entire home/apt,176.0,3,23,04-12-2023,3.05,1,345,23,R23000099177
8.24899e+17,Rental unit in Chicago · ★4.45 · 1 bedroom · 1 bed · 1.5 shared baths,495637904,Lydia,0.0,East Garfield Park,41.88593581,-87.70564381,Private room,68.0,2,11,25-10-2023,1.3,10,334,11,R23000095501
8.24943e+17,Rental unit in Chicago · ★4.82 · 1 bedroom · 2 beds · 1 bath,361968698,Amy,0.0,Near North Side,41.89050272,-87.62794435,Entire home/apt,120.0,2,37,30-11-2023,3.65,6,0,37,R22000093636
